,Indicateur,Périmètre,2020,202,2022,Objectif,Commentaire
0,LIMITER L'IMPACT ENVIRONNEMENTAL DE NOS ACTIVITÉS,LIMITER L'IMPACT ENVIRONNEMENTAL DE NOS ACTIVITÉS,LIMITER L'IMPACT ENVIRONNEMENTAL DE NOS ACTIVITÉS,LIMITER L'IMPACT ENVIRONNEMENTAL DE NOS ACTIVITÉS,LIMITER L'IMPACT ENVIRONNEMENTAL DE NOS ACTIVITÉS,LIMITER L'IMPACT ENVIRONNEMENTAL DE NOS ACTIVITÉS,LIMITER L'IMPACT ENVIRONNEMENTAL DE NOS ACTIVITÉS
1,Changement climatique et rédu,Auchan,,,,,
2,(en kWh/m2  ),Auchan  Retail,4819,45265,44575,25 %) en 2022  (base 2014  à périmètre  constant),"année, la baisse  tensité énergétique  agasins (hors réseaux  aleur) en 2022 est de  % depuis l'exercice 20  rimètre constant pays  mpris comme celui  renant les périmètres  aphiques communs  et 2022, à savoir Auc  France, Portugal,  ne, Hongrie, Russie,  ne, Pologne, Luxembo  iL  2   i"
3,,Auchan  Retail,4819,"452,65","445,75",,peuvent évoluer au gré  des ouvertures/fermetures  des magasins.
4,,py  de l'UE),-,"16,94 %","48 %  26,73 %",en 2023  100 % de  onsommation  d'électricité,"de  on  ité  ble  30  Depuis janvier 2022 la Pologne  s'approvisionne à 100 %  en électricité d'origine  renouvelable, en plus  duPortugal et de l'Espagne"
5,Consommation d'électricité  renouvelable  (en % de la consommation  lbld'éltiité),Auchan,181%,1694%,,des magasins  couverts  en 2023  % d,ts  3  e  n  Depuis janvier 2022 la Pologne  s'approvisionne à 100 %
6,Émission CO2 Scope 1  (tonnes équivalent CO2,Auchan  Retail,5446601*,"397031,3",355628,,"O2) est de 10,4 % grâce  ux actions entreprises dans   cadre du plan de sobriété.  es émissions de CO2 Scope   onnes équivalent CO2) sont"
