,,2019,2020,2021
0,Niveau A,0,0,0
1,Niveau B,6 158,4 703,3 580
2,Niveau C,375 137,453 712,340 523
3,Niveau D,460 174,611 604,504 367
4,Niveau Dbis,178 530,186 050,188 917
5,Niveau E,211 400,213 234,227 554
6,Niveau F,56 649,63 207,70 207
7,Niveau G,2 516,1 897,2 565
8,Tota,1 290 564,1 534 406,1 337 713
