,,2019,2020,2021
0,Niveau A,786,1 306,307
1,Niveau B,14 385,32 147,10 364
2,Niveau C,12 240,18 903,16 782
3,Niveau D,7 007,6 658,6 633
4,Niveau Dbis,0,0,0
5,Niveau E,0,0,0
6,Niveau F,0,0,0
7,Niveau G,0,0,0
8,Tota,34 417,59 013,34 086
