,,2019,2020,2021
0,Niveau A,0,0,0
1,Niveau B,0,0,0
2,Niveau C,145,75,77
3,Niveau D,2 532,1 744,2 110
4,Niveau Dbis,2 290,1 726,1 546
5,Niveau E,1 516,1 246,1 216
6,Niveau F,800,636,659
7,Niveau G,55,53,52
8,Total,7 338,5 480,5 660
9,Pourcentage,"9,74%","7,77%","8,58%"
