Année,Sexe,Contrat,Categorie,Valeur_effectifs,Source,Valeur_handicap,Pourcentage_sexe,Part_handicap,Evolution_annuelle
2017,Femme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,-100.0
2017,Femme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Femme,Non statutaires CDI,Exécution,2.0,Effectifs,,0.0013506121649637698,,inf
2017,Femme,Non statutaires CDI,Exécution,5.0,Effectifs,,0.0033765304124094247,,150.0
2017,Femme,Non statutaires CDI,Exécution,9.0,Effectifs,,0.006077754742336964,,80.0
2017,Femme,Non statutaires CDI,Exécution,1.0,Effectifs,,0.0006753060824818849,,-88.88888888888889
2017,Femme,Non statutaires CDI,Exécution,5.0,Effectifs,,0.0033765304124094247,,400.0
2017,Femme,Non statutaires CDI,Exécution,1.0,Effectifs,,0.0006753060824818849,,-80.0
2017,Femme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,-100.0
2017,Femme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Femme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Femme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Femme,Non statutaires CDI,Exécution,3.0,Effectifs,,0.002025918247445655,,inf
2017,Femme,Non statutaires CDI,Exécution,2.0,Effectifs,,0.0013506121649637698,,-33.333333333333336
2017,Femme,Non statutaires CDI,Exécution,2.0,Effectifs,,0.0013506121649637698,,0.0
2017,Femme,Non statutaires CDI,Exécution,11.0,Effectifs,,0.007428366907300734,,450.0
2017,Femme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,
2017,Femme,Non statutaires CDI,Maîtrise,1.0,Effectifs,,0.0001232705146790529,,inf
2017,Femme,Non statutaires CDI,Maîtrise,4.0,Effectifs,,0.0004930820587162116,,300.0
2017,Femme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,-100.0
2017,Femme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,
2017,Femme,Non statutaires CDI,Maîtrise,12.0,Effectifs,,0.0014792461761486346,,inf
2017,Femme,Non statutaires CDI,Maîtrise,1.0,Effectifs,,0.0001232705146790529,,-91.66666666666666
2017,Femme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,-100.0
2017,Femme,Non statutaires CDI,Maîtrise,6.0,Effectifs,,0.0007396230880743173,,inf
2017,Femme,Non statutaires CDI,Maîtrise,3.0,Effectifs,,0.00036981154403715864,,-50.0
2017,Femme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,-100.0
2017,Femme,Non statutaires CDI,Maîtrise,1.0,Effectifs,,0.0001232705146790529,,inf
2017,Femme,Non statutaires CDI,Maîtrise,1.0,Effectifs,,0.0001232705146790529,,0.0
2017,Femme,Non statutaires CDI,Maîtrise,10.0,Effectifs,,0.0012327051467905287,,900.0
2017,Femme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,-100.0
2017,Femme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,
2017,Femme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,
2017,Femme,Non statutaires CDI,Maîtrise,13.0,Effectifs,,0.0016025166908276876,,inf
2017,Femme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,-100.0
2017,Femme,Non statutaires CDI,,224.0,Effectifs,,,,
2017,Femme,Statutaires,Cadre,37.0,Effectifs,,0.004408036446121881,,
2017,Femme,Statutaires,Cadre,2042.0,Effectifs,,0.24327595737786167,,5418.918918918918
2017,Femme,Statutaires,Cadre,694.0,Effectifs,,0.08268046739482664,,-66.01371204701275
2017,Femme,Statutaires,Cadre,88.0,Effectifs,,0.01048397857456015,,-87.31988472622479
2017,Femme,Statutaires,Cadre,442.0,Effectifs,,0.052658165113131664,,402.27272727272725
2017,Femme,Statutaires,Cadre,134.0,Effectifs,,0.015964240102171137,,-69.68325791855203
2017,Femme,Statutaires,Cadre,8205.0,Effectifs,,0.9775118659575686,,6023.134328358209
2017,Femme,Statutaires,Cadre,79.0,Effectifs,,0.009411753493071044,,-99.03717245581961
2017,Femme,Statutaires,Cadre,2890.0,Effectifs,,0.34430338727816856,,3558.227848101266
2017,Femme,Statutaires,Cadre,1593.0,Effectifs,,0.1897838394235718,,-44.878892733564015
2017,Femme,Statutaires,Cadre,67.0,Effectifs,,0.007982120051085569,,-95.79409918392969
2017,Femme,Statutaires,Cadre,2613.0,Effectifs,,0.3113026819923371,,3800.0
