Date;Contrat de travail;Collège;Effectif
2011;Agents au statut;Cadres;24590
2011;Agents contractuels;Cadres;1888
2011;Agents contractuels;Exécution roulant trains;358
2011;Agents contractuels;Maîtrise;2177
2012;Agents au statut;Exécution roulant trains;7498
2012;Agents au statut;Cadres supérieurs;1530
2012;Agents contractuels;Maîtrise;2403
2013;Agents au statut;Exécution roulant trains;7388
2013;Agents contractuels;Cadres;2486
2017;Agents au statut;Exécution sédentaire;43126
2017;Agents au statut;Cadres supérieurs;1503
2018;Agents au statut;Exécution roulant trains;6083
2019;Agents au statut;Exécution roulant conduite;13797
2019;Agents au statut;Exécution roulant trains;6139
2019;Agents au statut;Cadres supérieurs;1727
2019;Agents contractuels;Cadres supérieurs;826
2020;Agents au statut;Cadres supérieurs;1738
2020;Agents contractuels;Exécution roulant trains;554
2020;Agents contractuels;Exécution sédentaire;13214
2021;Agents au statut;Exécution sédentaire;33229
2021;Agents contractuels;Cadres;5839
2021;Agents contractuels;Maîtrise;3844
2022;Agents au statut;Cadres;26364
2023;Agents contractuels;Cadres;7845
