,0,1,2
0," % des sites de production en propre évalués A, B ou C",100 %,78 % (note 47)
1,,97 %,91 %
2,,-,-
3, % des sites de production des fournisseurs   partenaires évalués AB ou C,A : 1 % - B : 50 % - C : 46 %,A : 1% - B : 40% - C : 50%
4," % des sites de production des fournisseurs   partenaires évalués A, B ou C",-,-  de
5,p,"107 sites de production  des fournisseurs partenaire  évalués A, B ou C","104 sites de production  des fournisseurs partenaire  évalués A, B ou C"
