,0,1,2
0,JE CRÉE DE LA VALEUR,JE CRÉE DE LA VALEUR,JE CRÉE DE LA VALEUR
1," Je crée de la valeur humaine, environnementale et économique pour le projet d'entreprise",94 %,94 %
2, Je fais partie d'un collectif ou d'une équipe à qui je fais régulièrement état   de mes avancées par rapport aux engagements que j'ai pris vis-à-vis d'eux,90 %,91 % (note 24)
3, Ma rémunération est juste au regard de mes responsabilités et de mes performances,62 %,60 %
4, Je suis associé·e aux performances de Decathlon  Nous partageons la valeur créée ensemble,88 %,85 %
5, Je me sens copropriétaire de Decathlon par mon actionnariat,70 %,70 %
6," Je suis heureux·se de venir travailler tous les matins au service de notre projet,   de mon projet et du sens de notre entreprise",92 %,91 % (note 25)
