,0,1,2
0,COMPÉTENCES & DÉVELOPPEMENT,2020,2021
1,% de coéquipier·ères déclarant progresser dans l'utilisation   du digital dans ses responsabilités (enquête DTB),n/a,90 % (note 26)
2,% de coéquipier·ères déclarant se prendre en charge pour progresser (enquête DTB),88 %,90 % (note 27)
3,% de coéquipier·ères ayant eu au moins un cumul   de 3 h de formation sur les 2 dernières années,n/a,n/a (note 28)
