,0,1,2
0,DROITS HUMAINS DANS LA CHAÎNE DE VALEUR,2021,2022
1,COMPÉTENCES | DROITS HUMAINS,,
2,% d'acquisition des compétences développement durable  pour les équipes travaillant en production (situation au 31/12,77 %,n/a (note 32
3,% d'acquisition des compétences développement durable  pour les équipes Achat (situation au 31/12),78 %,n/a (note 32)
