,0,1,2
0,JE JOUE COLLECTIF,JE JOUE COLLECTIF,JE JOUE COLLECTIF
1, Nous pratiquons du sport et fêtons les victoires ensemble,75 %,80 %
2, Je me sens en sécurité dans mon environnement de travai,93 %,94 % (note 22)
3, La communication au sein de mon équipe est efficace et transparente,86 %,86 %
4," Dans mon équipe, nous sommes solidaires et nous nous entraidon",99 %,94 % (note 23)
