,RÉSULTATS DE L'ENQUÊTE DECATHLON   TEAMMATES BAROMETER (DTB),2022,2023
0,DTB,,
1,% de coéquipier·ères ayant répondu à l'enquête  Decathlon Teammates Barometer,83 %,84 % (Note 91)
2,Nombre de de coéquipier·ères répondants à l'enquête DTB,72 361,71 307
3,"% de coéquipier·ères ayant répondu  ""Oui tout à fait"" ou ""Plutôt Oui"" à la question",,
4,"JE VIS NOTRE SENS, NOS VALEURS ET NOTRE CULTURE D'ENTREPRISE","JE VIS NOTRE SENS, NOS VALEURS ET NOTRE CULTURE D'ENTREPRISE","JE VIS NOTRE SENS, NOS VALEURS ET NOTRE CULTURE D'ENTREPRISE"
5," Nos valeurs Vitalité, Générosité, Responsabilité  et Authenticité vivent autour de moi",88 %,88 %
6," Je connais le nouveau sens de Decathlon :  ""Move People through the Wonders of Sport",n/a,91 %
7," ""Move People through the Wonders of Sport""  me motive et guide mes actions au quotidien",93 %,83 %
8, Je connais le projet de Decathlon (les 5 piliers stratégiques),n/a,90 %
9, Je contribue au projet de Decathlon  à travers mes responsabilités,n/a,90 %
10, Je suis fier·e de nos produits Decathlon,96 %,95 %
11, Je suis fier·e de travailler chez Decathlo,93 %,93 %
12,"MA RESPONSABILITÉ, MES PROGRÈS ET NOTRE LEADERSHIP",,
13, Je suis accompagné·e pour développer mes compétences,86 %,85 %
14, Je suis accompagné·e pour développer mes performances,87 %,86 %
15, Je progresse dans l'utilisation des outils digitaux  dbilité,90 %,90 %
16,MON PARCOURS INSPIRANT CHEZ DECATHLON,,
17, Ma connaissance des compétences digitales  me permet de prendre de meilleures décisions,n/a,89 %
18, J'ai la possibilité de faire les formations nécessaires  pour améliorer mon niveau de compétences,n/a,86 %
19," J'ai un entretien annuel d'activité qui me permet d'évaluer  mes performances, mesurer mes progrès et réfléchir sur  iéfi",93 %,93 %
