,0,1,2
0, Je suis fier·e et heureux·se de travailler chez Decathlon,94 %,93 %
1," Nos valeurs Vitalité, Responsabilité, Générosité et Authenticité vivent autour de moi",95 %,88 % (note 19)
2," ""Rendre durablement les plaisirs et les bienfaits de la pratique des sports  accessibles au plus grand nombre"" me motive et guide mes actions au quot",95 %,93 %
3, J'ai une mission mesurable avec des KPI clairs,82 %,84 % (note 20)
4, Je prends les décisions sur les sujets qui me concernent et j'en mesure les conséquences,94 %,94 %
5," Avant de décider, je prends l'avis des decathlonien·nes concerné·es par ma décision",97 %,97 %
6," Chez Decathlon, j'ai le droit à l'erreur : j'ose, je teste, j'apprends et je corrige",95 %,95 %
