,0,1,2
0,ÊTRE SOI-MÊME,ÊTRE SOI-MÊME,ÊTRE SOI-MÊME
1, Je peux m'exprimer ET je suis écouté·e,93 %,92 %
2, Je peux être moi-même dans mes actions au quotidien,94 %,94 %
3, Je suis considéré·e avec respect,94 %,94 % (note 18)
