,0,1,2
0,COMPÉTENCES ET DÉVELOPPEMENT,2021,2022
1,% de coéquipier·ères déclarant progresser dans l'utilisation  du digital dans ses responsabilités (enquête DTB),90 %,90 % (note 18)
2,% de coéquipier·ères déclarant se prendre en charge pour progresser (enquête DTB),90 %,91 % (note 18)
3,% de coéquipier·ères ayant eu au moins un cumu  de 3 h de formation sur les 2 dernières années,n/a,"71,1 % (note 19"
