,PARTAGE DE LA VALEUR,2020,2021
0,RÉMUNÉRATIONS ET LEURS ÉVOLUTIONS,,
1,Masse salariale monde (du 01/01 au 31/12),2 178 212 024 €,2 655 095 138 €
2,% de la masse salariale/chiffre d'affaires (du 01/01 au 31/12),"19,1 %","19,3 %"
3,ACTIONNARIAT SALARIÉ,,
4,% du capital détenu par les salarié·es actionnaires (situation au 31/,"12,05 %","12,3 %"
5,% des salarié·es actionnaires (situation au 31/12),"55,86 %","50,93 % (note 29)"
6,Nombre de salarié·es actionnaires (situation au 31/12) 52 301,Nombre de salarié·es actionnaires (situation au 31/12) 52 301,52 545 (note 30)
7,Nombre de pays/régions concerné·es par l'actionnariat salarié  (situation au 31/12) 42,Nombre de pays/régions concerné·es par l'actionnariat salarié  (situation au 31/12) 42,44 (note 31)
