,0,1,2
0, Monde,"1,14 %",1 % (note 15)
1, Europe & Russie,"1,49 %","1,29 % (note 16)"
2, Asie,"0,2 %","0,26 % (note 16)"
3, Afrique & Moyen-Orient,"0,35 %","0,51 % (note 16)"
4, Amériques,"0,49 %","0,48 % (note 16)"
5, Océanie,"1,2 %","0,93 % (note 16"
