,0,1,2
0,RÉSULTATS DE L'ENQUÊTE DECATHLON TEAMMATES BAROMETER (DTB,2020,2021
1,% de coéquipier·ères ayant répondu à l'Enquête Decathlon Teammates Barometer,84 %,81 % (note 17)
2,Nombre de coéquipier·ères répondants à l'enquête DTB,65 873,70 405
