,0,1,2
0,DIVERSITÉ ET SÉNIORITÉ,DIVERSITÉ ET SÉNIORITÉ,DIVERSITÉ ET SÉNIORITÉ
1,Monde,1 %,"1,47 % (note 14)"
2,Europe et Russie,"1,29 %","1,94 % (note 15)"
3,Asie,"0,26 %","0,35 % (note 15)"
4,Afrique et Moyen-Orient,"0,51 %","0,67 % (note 15)"
5,Amériques,"0,48 %","0,57 % (note 15)"
6,Océanie,"0,93 %","0,76 % (note 15)"
