,ENCHANTEMENT PAR NOS PRODUITS,2021,2022
0,QUALITÉ DES PRODUITS,,
1,Nombre de retours qualité pour un million  de produits Decathlon vendus (du 01/01 au 31/12,988,1 059 (note 42)
2,Nombre de dossiers pour lesquels il y a eu des Actions Correctives Qualité   pour les produits Decathlon et autres marques internationales AMI  (du 01/01 au 31/12)  243,Nombre de dossiers pour lesquels il y a eu des Actions Correctives Qualité   pour les produits Decathlon et autres marques internationales AMI  (du 01/01 au 31/12)  243,243 (note 43)
3,"Nombre de produits Decathlon et AMI concernés par ces Actions   Correctives Qualité (du 01/01 au 31/12)  0,46 million  de produits","Nombre de produits Decathlon et AMI concernés par ces Actions   Correctives Qualité (du 01/01 au 31/12)  0,46 million  de produits","1,06 million  de produits"
