,,,Cadres,Maîtrise,Exécution,Total
0,,H,30 721,15 303,3 114,49 139
1,2021,F,43 155,77 350,11 820,132 325
2,,Total,73 876,92 653,14 934,181 463
3,2020,Total,77 751,91 046,19 898,188 695
4,2019,Total,64 084,111 935,34 184,210 203
