,,,Cadres,Maîtrise,Exécution,Total
0,,H,2 410 814,515 617,49 887,2 976 318
1,,F,2 141 645,1 375 383,146 089,3 663 116
2,,Total,4 552 459,1 891 000,195 975,6 639 434
3,2020,Total,4 611 392,2 035 509,230 855,6 877 756
4,2019,Total,4 503 942,2 146 262,305 986,6 956 190
