,,,Cadres,Maîtrise,Exécution,Total
0,,H,45 171,24 252,7 615,77 038
1,2021,F,63 740,99 255,22 923,185 198
2,,Total,108 911,123 507,30 537,262 956
3,2020,Total,94 401,119 050,37 053,250 505
4,2019,Total,89 597,137 573,50 721,277 892
