,,,Cadres,Maîtrise,Exécution,Total
0,,H,42 591,24 016,7 615,74 222
1,2021,F,63 151,98 645,22 535,184 331
2,,Total,105 742,122 661,30 149,258 553
3,2020,Total,90 981,117 702,36 597,245 280
4,2019,Total,84 998,135 800,49 750,270 548
